# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
4.38854	2208.18019	2203.33306	77.19302	29.15690	582.04307	864.77412	650.16595
4.37643	2206.69393	2206.14807	77.61325	29.35955	589.57250	867.98130	641.62147
4.36433	2207.00517	2209.07153	78.03690	29.56442	597.23805	871.03692	633.19523
4.35222	2214.21757	2212.09975	78.46401	29.77152	605.04238	873.93614	624.88570
4.34012	2223.99457	2215.22917	78.89462	29.98090	612.98816	876.67417	616.69133
4.32801	2231.60341	2218.45636	79.32876	30.19258	621.07810	879.24635	608.61058
4.31591	2237.64005	2221.77804	79.76647	30.40661	629.31493	881.64811	600.64193
4.30380	2234.92804	2225.19109	80.20779	30.62301	637.70143	883.87502	592.78385
4.29170	2229.94224	2228.69256	80.65276	30.84182	646.24035	885.92277	585.03485
4.27960	2232.41334	2232.27969	81.10142	31.06309	654.93451	887.78724	577.39344
4.26749	2234.10835	2235.94989	81.55381	31.28684	663.78670	889.46442	569.85812
4.25539	2228.31364	2239.70081	82.00998	31.51312	672.79975	890.95054	562.42742
4.24328	2223.28487	2243.53028	82.46996	31.74196	681.97648	892.24199	555.09990
4.23118	2226.95976	2247.43636	82.93379	31.97341	691.31971	893.33535	547.87410
4.21907	2228.86946	2251.41733	83.40153	32.20750	700.83225	894.22745	540.74859
4.20697	2216.03137	2255.47171	83.87320	32.44428	710.51693	894.91534	533.72196
4.19486	2215.63935	2259.59826	84.34887	32.68378	720.37651	895.39630	526.79280
4.18276	2240.19572	2263.79597	84.82856	32.92606	730.41377	895.66786	519.95972
4.17065	2251.33325	2268.06409	85.31234	33.17115	740.63143	895.72783	513.22134
4.15855	2254.69390	2272.40210	85.80024	33.41910	751.03218	895.57427	506.57632
4.14644	2253.28788	2276.80972	86.29230	33.66995	761.61866	895.20553	500.02329
4.13434	2250.13716	2281.28694	86.78859	33.92375	772.39343	894.62024	493.56093
