# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
1.27829	952.16540	950.53316	734.89817	99.35427	60.43557	34.98449	20.86066
1.27140	952.93500	951.90342	739.74726	97.41056	59.57908	34.54808	20.61842
1.26534	953.92674	953.17684	744.04821	95.72189	58.83324	34.16696	20.40655
1.26008	954.73137	954.33260	747.80352	94.27424	58.19238	33.83865	20.22380
1.25559	955.18964	955.35580	751.02384	93.05250	57.65035	33.56038	20.06873
1.25184	955.35698	956.23756	753.72790	92.04048	57.20048	33.32901	19.93968
1.24878	955.39613	956.97483	755.94231	91.22107	56.83561	33.14107	19.83477
1.24636	955.43435	957.57007	757.70115	90.57619	56.54803	32.99277	19.75193
1.24451	955.53396	958.03075	759.04548	90.08681	56.32955	32.88000	19.68891
1.24317	955.68394	958.36868	760.02259	89.73302	56.17147	32.79835	19.64326
1.24226	955.83322	958.59934	760.68527	89.49399	56.06459	32.74311	19.61237
1.24171	955.94531	958.74113	761.09093	89.34803	55.99930	32.70936	19.59350
1.24142	956.00836	958.81460	761.30066	89.27268	55.96559	32.69193	19.58375
1.24132	956.03248	958.84182	761.37826	89.24481	55.95312	32.68548	19.58014
1.24130	956.03596	958.84572	761.38938	89.24082	55.95134	32.68456	19.57963
