# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
5.15114	2170.02859	2162.00068	37.36932	13.68070	456.08453	55.49750	1599.36864
5.13903	2162.43156	2154.09770	37.54393	13.75797	459.76014	56.86358	1586.17208
5.12693	2155.99791	2146.30557	37.71976	13.83592	463.48049	58.27884	1572.99056
5.11482	2149.39915	2138.63020	37.89683	13.91457	467.24626	59.74543	1559.82710
5.10272	2141.81337	2131.07749	38.07514	13.99392	471.05814	61.26564	1546.68465
5.09061	2134.01264	2123.65343	38.25471	14.07397	474.91684	62.84183	1533.56607
5.07851	2126.06268	2116.36400	38.43555	14.15474	478.82310	64.47647	1520.47414
5.06640	2117.88008	2109.21528	38.61766	14.23624	482.77763	66.17217	1507.41157
5.05430	2109.61854	2102.21335	38.80108	14.31848	486.78118	67.93162	1494.38099
5.04220	2101.64017	2095.36438	38.98579	14.40146	490.83452	69.75765	1481.38495
5.03009	2094.19384	2088.67456	39.17183	14.48519	494.93842	71.65321	1468.42592
5.01799	2087.06464	2082.15018	39.35919	14.56969	499.09365	73.62135	1455.50630
5.00588	2080.24792	2075.79754	39.54790	14.65496	503.30102	75.66525	1442.62841
4.99378	2074.09766	2069.62304	39.73797	14.74101	507.56133	77.78824	1429.79449
4.98167	2067.34602	2063.63311	39.92940	14.82785	511.87541	79.99373	1417.00672
4.96957	2059.07570	2057.83425	40.12222	14.91550	516.24410	82.28526	1404.26718
4.95746	2050.16158	2052.23301	40.31643	15.00396	520.66824	84.66650	1391.57789
4.94536	2041.75036	2046.83599	40.51205	15.09324	525.14870	87.14121	1378.94080
4.93325	2033.54510	2041.64982	40.70909	15.18335	529.68635	89.71325	1366.35778
4.92115	2025.85377	2036.68117	40.90757	15.27431	534.28209	92.38656	1353.83064
4.90904	2018.97288	2031.93671	41.10749	15.36613	538.93682	95.16516	1341.36111
4.89694	2012.21118	2027.42311	41.30889	15.45881	543.65147	98.05311	1328.95084
4.88483	2005.45893	2023.14702	41.51176	15.55236	548.42696	101.05451	1316.60143
4.87273	1998.71024	2019.11502	41.71612	15.64681	553.26425	104.17344	1304.31440
4.86062	1992.01426	2015.33362	41.92199	15.74216	558.16430	107.41396	1292.09121
4.84852	1986.72550	2011.80916	42.12938	15.83842	563.12809	110.78002	1279.93326
4.83641	1984.98270	2008.54784	42.33832	15.93560	568.15660	114.27546	1267.84187
4.82431	1982.05627	2005.55559	42.54880	16.03372	573.25086	117.90391	1255.81830
4.81220	1976.56373	2002.83803	42.76085	16.13279	578.41188	121.66875	1243.86377
4.80010	1970.97392	2000.40038	42.97448	16.23282	583.64070	125.57298	1231.97940
4.78800	1966.69261	1998.24739	43.18972	16.33382	588.93837	129.61919	1220.16629
4.77589	1963.42202	1996.38320	43.40657	16.43581	594.30596	133.80939	1208.42546
4.76379	1962.21249	1994.81120	43.62505	16.53880	599.74456	138.14492	1196.75787
4.75168	1962.09361	1993.53395	43.84517	16.64281	605.25526	142.62626	1185.16444
4.73958	1962.19572	1992.55297	44.06697	16.74784	610.83918	147.25296	1173.64602
4.72747	1962.25693	1991.86856	44.29044	16.85392	616.49744	152.02335	1162.20342
4.71537	1962.57724	1991.47965	44.51561	16.96105	622.23119	156.93443	1150.83738
4.70326	1964.49447	1991.38353	44.74250	17.06925	628.04158	161.98160	1139.54861
4.69116	1970.65151	1991.57567	44.97111	17.17854	633.92980	167.15846	1128.33775
4.67905	1976.34726	1992.04942	45.20148	17.28893	639.89702	172.45658	1117.20542
4.66695	1979.41928	1992.79583	45.43362	17.40043	645.94444	177.86518	1106.15216
4.65484	1982.98252	1993.80333	45.66754	17.51306	652.07330	183.37095	1095.17848
4.64274	1989.19614	1995.05753	45.90327	17.62684	658.28481	188.95776	1084.28485
4.63063	1996.31959	1996.54092	46.14082	17.74179	664.58022	194.60641	1073.47169
4.61853	2002.59608	1998.23272	46.38021	17.85791	670.96078	200.29444	1062.73938
4.60642	2008.55338	2000.10868	46.62146	17.97523	677.42777	205.99596	1052.08827
4.59432	2013.48253	2002.14095	46.86459	18.09376	683.98247	211.68150	1041.51863
4.58221	2017.89064	2004.29806	47.10962	18.21352	690.62617	217.31800	1031.03075
4.57011	2022.24784	2006.54497	47.35657	18.33453	697.36019	222.86885	1020.62484
4.55800	2026.57077	2008.84324	47.60546	18.45680	704.18584	228.29406	1010.30108
4.54590	2030.87881	2011.15130	47.85631	18.58036	711.10444	233.55056	1000.05964
4.53380	2036.60048	2013.42495	48.10913	18.70521	718.11734	238.59264	989.90063
4.52169	2042.60274	2015.61793	48.36396	18.83139	725.22589	243.37256	979.82413
4.50959	2043.32521	2017.68268	48.62081	18.95891	732.43144	247.84133	969.83019
4.49748	2041.96915	2019.57129	48.87971	19.08779	739.73535	251.94959	959.91885
4.48538	2041.08607	2021.23655	49.14066	19.21805	747.13899	255.64874	950.09010
4.47327	2040.55288	2022.63309	49.40371	19.34971	754.64375	258.89203	940.34390
4.46117	2039.66560	2023.71867	49.66886	19.48279	762.25100	261.63584	930.68018
4.44906	2037.58420	2024.45540	49.93615	19.61731	769.96212	263.84096	921.09887
4.43696	2034.46524	2024.81096	50.20559	19.75330	777.77849	265.47374	911.59984
4.42485	2030.54379	2024.75971	50.47720	19.89077	785.70152	266.50726	902.18296
4.41275	2026.83850	2024.28362	50.75102	20.02974	793.73257	266.92222	892.84806
4.40064	2023.71612	2023.37299	51.02706	20.17025	801.87304	266.70767	883.59497
4.38854	2020.79012	2022.02690	51.30535	20.31231	810.12429	265.86147	874.42347
4.37643	2018.85935	2020.25331	51.58592	20.45595	818.48771	264.39039	865.33334
4.36433	2016.43585	2018.06890	51.86878	20.60119	826.96465	262.30996	856.32433
4.35222	2010.94370	2015.49859	52.15396	20.74805	835.55646	259.64395	847.39617
4.34012	2004.88517	2012.57481	52.44150	20.89656	844.26450	256.42367	838.54858
4.32801	2000.44071	2009.33643	52.73140	21.04675	853.09007	252.68694	829.78126
4.31591	1995.77189	2005.82771	53.02371	21.19865	862.03449	248.47697	821.09389
4.30380	1990.01873	2002.09694	53.31844	21.35227	871.09905	243.84106	812.48613
4.29170	1984.10516	1998.19522	53.61562	21.50764	880.28501	238.82931	803.95763
4.27960	1977.86675	1994.17510	53.91529	21.66480	889.59360	233.49337	795.50803
4.26749	1974.36279	1990.08941	54.21746	21.82377	899.02604	227.88519	787.13696
4.25539	1973.97916	1985.99019	54.52217	21.98458	908.58348	222.05596	778.84401
4.24328	1973.73082	1981.92770	54.82944	22.14726	918.26707	216.05515	770.62878
4.23118	1973.33840	1977.94967	55.13931	22.31184	928.07790	209.92976	762.49086
4.21907	1972.76970	1974.10068	55.45180	22.47834	938.01701	203.72370	754.42983
4.20697	1970.68433	1970.42177	55.76694	22.64681	948.08540	197.47738	746.44524
4.19486	1967.85479	1966.95009	56.08476	22.81727	958.28402	191.22740	738.53664
4.18276	1964.38692	1963.71881	56.40529	22.98976	968.61374	185.00644	730.70358
4.17065	1959.61286	1960.75708	56.72857	23.16430	979.07537	178.84325	722.94560
4.15855	1952.51628	1958.09013	57.05462	23.34093	989.66966	172.76271	715.26221
4.14644	1952.22349	1955.73937	57.38347	23.51969	1000.39728	166.78599	707.65294
4.13434	1953.20248	1953.72268	57.71516	23.70061	1011.25880	160.93081	700.11730
4.12223	1953.98742	1952.05460	58.04972	23.88372	1022.25471	155.21164	692.65479
